design_name,length,hotspot_config,noise,passes_final_filter,scorecard1_upstream_score,scorecard1_upstream_rank,scorecard1_upstream_rank_score,scorecard2_downstream_rank,scorecard2_downstream_score,downstream_status,rank_score_delta
len100_distributed_noise0__design_19_0_rank4,100,distributed,0.0,False,0.35802469135802467,40,0.2777777777777778,0,0.0,fell_out,-0.2777777777777778
len100_clusterA_noise0__design_1_0_rank0,100,clusterA,0.0,False,0.3518518518518519,41,0.2592592592592593,0,0.0,fell_out,-0.2592592592592593
len100_clusterA_noise0__design_15_0_rank2,100,clusterA,0.0,False,0.35185185185185186,42,0.2407407407407407,0,0.0,fell_out,-0.2407407407407407
len100_clusterB_noise0__design_1_0_rank0,100,clusterB,0.0,False,0.34567901234567894,43,0.2222222222222222,0,0.0,fell_out,-0.2222222222222222
len70_clusterB_noise05__design_17_0_rank0,70,clusterB,0.5,True,0.33333333333333326,44,0.20370370370370372,13,0.5608465608465608,downstream_complete,0.3571428571428571
len100_clusterA_noise05__design_6_0_rank0,100,clusterA,0.5,False,0.3024691358024691,45,0.18518518518518523,0,0.0,fell_out,-0.18518518518518523
len50_clusterA_noise05__design_0_0_rank0,50,clusterA,0.5,True,0.2962962962962963,46,0.16666666666666663,4,0.7433862433862434,downstream_complete,0.5767195767195767
len70_distributed_noise05__design_14_0_rank0,70,distributed,0.5,True,0.2901234567901234,47,0.14814814814814814,18,0.417989417989418,downstream_complete,0.2698412698412699
len70_clusterA_noise0__design_13_0_rank8,70,clusterA,0.0,False,0.2839506172839506,48,0.12962962962962965,0,0.0,fell_out,-0.12962962962962965
len70_clusterA_noise0__design_9_0_rank9,70,clusterA,0.0,False,0.2839506172839506,49,0.11111111111111116,0,0.0,fell_out,-0.11111111111111116
len100_clusterA_noise0__design_0_0_rank7,100,clusterA,0.0,False,0.26543209876543206,50,0.09259259259259256,0,0.0,fell_out,-0.09259259259259256
len70_clusterA_noise0__design_19_0_rank10,70,clusterA,0.0,False,0.2469135802469136,51,0.07407407407407407,0,0.0,fell_out,-0.07407407407407407
len50_distributed_noise0__design_18_0_rank2,50,distributed,0.0,False,0.24691358024691357,52,0.05555555555555558,0,0.0,fell_out,-0.05555555555555558
len50_distributed_noise0__design_15_0_rank3,50,distributed,0.0,False,0.24074074074074073,53,0.03703703703703709,0,0.0,fell_out,-0.03703703703703709
len50_clusterA_noise0__design_16_0_rank2,50,clusterA,0.0,False,0.17901234567901225,54,0.01851851851851849,0,0.0,fell_out,-0.01851851851851849
len50_distributed_noise0__design_14_0_rank1,50,distributed,0.0,False,0.13580246913580243,55,0.0,0,0.0,fell_out,0.0
